student_id,immigrant,female,minority,distance_band,ses_father,ses_mother,avg_kttx_h1,abs_phep_h1,abs_nophep_h1,diem_giua_ky,abs_phep_h2,abs_nophep_h2,delta_phep_h2,delta_nophep_h2,kttx3,kttx4,diem_cuoi_ky,tb_hoc_ky,y
MK2_0050,0,0,0,1,2,3,6.0,0,0,5.4,2,0,2,0,6.0,8.2,9.4,9.4,1
MK2_0051,0,0,0,2,0,2,5.8,1,0,3.4,2,0,1,0,3.6,3.2,5.3,5.4,1
MK2_0052,0,0,0,0,3,3,9.45,0,0,8.9,0,0,0,0,9.0,9.0,5.9,5.9,1
MK2_0053,0,0,0,0,0,2,6.4,0,0,8.9,0,0,0,0,9.0,8.9,1.9,4.9,0
MK2_0054,0,0,0,1,2,3,6.45,0,0,7.0,0,0,0,0,5.7,5.0,8.4,4.6,0
MK2_0055,1,0,0,1,2,2,7.5,0,0,8.4,0,0,0,0,6.0,3.0,5.0,4.5,0
MK2_0056,1,0,0,0,3,4,9.45,0,0,5.9,0,0,0,0,10.0,8.9,7.8,4.9,0
MK2_0057,0,1,0,0,1,2,9.5,0,0,8.0,1,0,1,0,9.0,5.8,2.6,9.7,1
MK2_0058,0,0,0,0,4,3,9.0,0,0,5.9,0,0,0,0,5.8,5.8,9.6,3.8,0
MK2_0059,1,0,0,0,3,3,7.95,0,0,5.9,0,0,0,0,9.0,7.0,6.5,6.7,1
MK2_0060,0,1,0,0,4,3,10.0,0,0,8.9,0,0,0,0,10.0,10.0,9.8,6.9,1
MK2_0061,0,0,0,1,1,1,6.95,0,0,9.0,0,0,0,0,8.6,5.3,5.6,3.7,0
MK2_0062,0,1,0,1,3,1,6.95,0,0,7.0,0,0,0,0,10.0,5.8,9.5,5.7,1
MK2_0063,0,1,0,0,2,2,5.35,0,0,8.4,0,0,0,0,3.8,3.4,6.0,1.6,0
MK2_0064,0,1,0,0,1,1,6.5,0,0,3.5,0,0,0,0,3.7,3.5,5.4,5.5,1
MK2_0065,0,0,0,0,2,2,4.85,0,0,6.0,0,0,0,0,5.6,5.5,5.4,6.5,1
MK2_0066,0,0,0,0,1,1,7.3,0,0,8.5,0,0,0,0,5.6,5.4,5.4,4.5,0
MK2_0067,0,0,0,1,3,2,6.0,0,0,9.0,2,0,2,0,8.6,3.5,5.3,8.5,1
MK2_0068,0,1,0,0,1,1,8.4,0,0,8.9,0,0,0,0,5.8,10.0,7.8,9.0,1
MK2_0069,0,0,0,0,1,1,8.4,0,0,5.8,0,0,0,0,5.8,8.0,2.6,7.7,1
MK2_0070,0,1,0,1,2,3,5.8,0,0,3.0,2,0,2,0,3.6,8.4,1.2,4.0,0
MK2_0071,0,1,0,0,2,4,8.5,0,0,5.0,0,0,0,0,5.6,,5.2,1.5,0
MK2_0072,0,0,0,0,2,3,8.0,0,0,8.7,0,0,0,0,7.0,3.7,2.7,5.7,1
MK2_0073,0,1,0,0,1,1,6.3,0,0,5.5,0,0,0,0,8.6,5.4,6.0,6.0,1
MK2_0074,0,0,0,0,1,1,4.65,0,0,8.5,0,0,0,0,7.0,5.0,6.5,6.0,1
MK2_0075,0,1,0,0,0,1,7.1,0,0,8.7,0,0,0,0,5.7,8.4,7.5,5.6,1
MK2_0076,0,1,0,0,2,1,6.0,1,0,5.0,2,0,1,0,7.0,5.4,2.5,5.5,1
MK2_0077,1,1,0,0,2,2,8.95,3,0,8.0,5,0,2,0,7.0,5.3,2.5,8.6,1
MK2_0078,0,0,0,0,3,3,10.0,0,0,3.9,0,0,0,0,10.0,10.0,5.9,7.9,1
MK2_0079,0,1,0,2,2,3,9.5,0,0,3.8,0,0,0,0,9.0,10.0,5.9,2.9,0
MK2_0080,0,1,0,0,2,4,10.0,0,0,8.9,0,0,0,0,10.0,10.0,8.7,2.9,0
MK2_0081,1,0,0,1,3,1,6.5,0,0,3.7,0,0,0,0,7.0,9.0,7.0,2.7,0
MK2_0082,0,0,0,0,2,1,6.0,0,0,5.5,0,0,0,0,4.0,4.0,8.2,4.4,0
MK2_0083,0,0,0,1,2,4,9.0,0,0,3.6,0,0,0,0,7.0,8.0,8.7,7.7,1
MK2_0084,0,1,0,0,2,2,7.5,0,0,8.7,1,0,1,0,6.0,7.0,7.0,2.7,0
MK2_0085,0,0,0,0,1,1,5.5,0,0,8.5,0,0,0,0,5.0,5.0,4.0,5.0,1
MK2_0086,0,1,0,0,3,3,4.0,0,0,8.5,0,0,0,0,5.0,5.0,7.0,6.5,1
MK2_0087,0,0,0,1,1,3,9.5,0,0,5.8,1,0,1,0,7.0,10.0,5.7,4.8,0
MK2_0088,0,1,0,1,3,3,9.0,0,0,5.7,1,0,1,0,7.0,9.0,8.5,4.7,0
MK2_0089,0,0,0,1,4,4,6.5,0,0,7.0,0,0,0,0,7.0,7.0,7.0,9.6,1
MK2_0090,0,1,0,1,2,1,5.0,0,0,5.2,0,0,0,0,8.0,6.0,5.6,4.5,0
MK2_0091,0,0,0,1,1,1,7.5,0,0,8.8,0,0,0,0,8.0,7.0,5.0,7.0,1
MK2_0092,0,0,0,1,1,1,8.0,0,0,3.5,0,0,0,0,7.0,7.0,3.7,9.6,1
MK2_0093,0,0,0,0,0,1,6.0,0,0,8.4,0,0,0,0,3.0,4.0,7.0,5.5,1
MK2_0094,0,0,0,1,0,1,7.0,0,0,8.5,0,0,0,0,10.0,7.0,5.5,6.6,1
MK2_0095,1,0,0,1,2,1,8.0,0,0,5.7,1,0,1,0,10.0,7.0,8.0,8.0,1
MK2_0096,0,0,0,1,1,1,6.5,0,0,6.0,1,0,1,0,3.0,5.0,3.5,4.5,0
MK2_0097,0,0,0,0,2,3,8.5,0,0,5.7,0,0,0,0,8.0,8.0,3.7,8.7,1
MK2_0098,0,0,0,0,2,2,7.5,0,0,7.0,0,0,0,0,7.0,5.0,8.4,2.6,0
MK2_0099,1,1,0,1,1,1,8.0,0,0,3.8,0,0,0,0,8.0,8.0,3.7,8.7,1
MK2_0100,0,1,0,0,2,2,9.5,0,0,5.9,0,0,0,0,9.0,9.0,8.7,8.8,1
MK2_0101,0,1,0,0,2,1,6.0,0,0,4.0,2,0,2,0,3.0,3.0,3.4,3.4,0
MK2_0102,1,1,0,2,0,4,10.0,0,0,10.0,0,0,0,0,10.0,10.0,3.9,8.9,1
MK2_0103,1,1,0,1,2,4,8.0,0,0,7.0,0,0,0,0,7.0,7.0,8.5,8.6,1
MK2_0104,0,0,0,1,3,1,8.5,0,0,8.0,0,0,0,0,9.0,8.0,8.0,2.8,0
MK2_0105,0,0,0,0,3,3,8.0,0,0,5.7,0,0,0,0,6.0,7.0,8.6,2.7,0
MK2_0106,0,1,0,1,1,1,9.0,0,0,3.6,0,0,0,0,6.0,8.0,8.5,9.6,1
MK2_0107,1,0,0,0,2,1,8.0,0,0,8.7,0,0,0,0,9.0,7.0,5.7,8.7,1
MK2_0108,0,0,0,0,2,3,6.0,0,0,5.7,0,0,0,0,6.0,10.0,3.7,2.7,0
MK2_0109,0,0,0,1,3,2,8.5,0,0,5.8,1,0,1,0,9.0,10.0,5.8,7.8,1
MK2_0110,1,0,0,0,2,1,4.5,0,0,5.2,0,0,0,0,5.0,5.0,8.6,9.4,1
MK2_0111,0,1,0,0,1,1,9.5,0,0,9.0,0,0,0,0,9.0,9.0,5.7,6.8,1
MK2_0112,0,1,0,1,0,1,5.5,0,0,5.4,0,0,0,0,4.0,6.0,3.6,4.5,0
MK2_0113,0,0,0,0,3,2,6.0,1,0,3.7,3,0,2,0,5.0,7.0,8.2,2.5,0
MK2_0114,0,1,0,0,2,1,8.5,0,0,8.5,1,0,1,0,7.0,6.0,8.6,9.6,1
MK2_0115,1,1,0,0,2,3,10.0,0,0,5.7,0,0,0,0,9.0,8.0,8.7,4.8,0
MK2_0116,0,0,0,2,1,1,6.5,0,0,6.0,0,0,0,0,5.0,7.0,5.4,6.5,1
MK2_0117,0,1,0,2,3,3,7.5,1,0,6.0,1,0,0,0,7.0,8.0,6.0,7.6,1
MK2_0118,0,0,0,0,1,1,7.0,0,0,6.0,0,0,0,0,5.0,7.0,2.0,9.4,1
MK2_0119,1,0,0,0,2,1,7.0,0,0,7.0,0,0,0,0,4.0,3.0,3.4,3.5,0
MK2_0120,0,0,0,0,3,3,4.5,1,0,3.0,1,0,0,0,3.0,4.0,5.5,3.4,0
